Simulation,First_Trigger_Month_Idx,Cost_Payoff_PV,Benefit_Payoff_PV
204,36,16407236.08501665,15586874.280765817
205,35,16861973.806656543,16018875.116323713
206,36,16468120.21517659,15644714.20441776
207,41,12650313.57634249,12017797.897525365
208,36,16401279.79055974,15581215.801031752
209,38,14904045.074217994,14158842.820507092
210,43,11325716.446419857,10759430.624098865
211,39,14005145.858870886,13304888.565927342
212,39,14079734.8960025,13375748.151202375
213,38,14562763.547368469,13834625.370000044
214,36,16423374.805950386,15602206.065652866
215,33,18604012.81273498,17673812.17209823
216,34,17831022.7622968,16939471.62418196
217,41,12640386.089130614,12008366.784674082
218,34,17651786.231718067,16769196.920132164
219,41,12651474.18175616,12018900.472668352
220,29,21281778.671002273,20217689.73745216
221,44,10542605.42147068,10015475.150397144
222,38,14914847.990041027,14169105.590538975
223,36,16218153.480892869,15407245.806848224
224,39,13966020.009731075,13267719.009244522
225,38,14760158.268346576,14022150.354929246
226,35,16903045.77053317,16057893.482006513
227,34,17753526.393959355,16865850.074261386
228,36,16323847.392808953,15507655.023168506
229,29,21659419.893429287,20576448.898757823
230,37,15417609.328921448,14646728.862475375
231,32,19305751.135956556,18340463.579158727
232,32,19113056.791653283,18157403.952070616
233,40,13324442.563587133,12658220.435407776
234,28,21867864.973843217,20774471.72515106
235,44,10572420.015980361,10043799.015181342
236,36,16171623.65247223,15363042.469848616
237,40,13431317.981234463,12759752.082172738
238,37,15507510.672247468,14732135.138635093
239,41,12645019.075341195,12012768.121574134
240,34,17682569.051137958,16798440.59858106
241,35,17011009.763270102,16160459.275106596
242,43,11241053.042538373,10679000.390411453
243,47,8518627.352811186,8092695.985170626
244,34,17826660.768694576,16935327.730259847
245,41,12625355.816941874,11994088.026094781
246,37,15463394.71189652,14690224.976301692
247,42,11948947.884218544,11351500.490007615
248,37,15503366.224884044,14728197.913639842
249,42,12027875.258906541,11426481.495961215
250,38,14909160.030482767,14163702.02895863
251,29,21645684.003046803,20563399.802894462
252,44,10542921.992526012,10015775.892899709
253,37,15587318.410199374,14807952.489689404
254,43,11157062.85026446,10599209.707751235
255,42,12009036.611426398,11408584.780855076
256,36,16329922.798862647,15513426.658919513
257,32,19218253.02706948,18257340.375716
258,35,17070180.98163334,16216671.932551673
259,34,17829402.289806712,16937932.175316375
260,36,16249811.991588496,15437321.39200907
261,40,13365472.043119451,12697198.440963479
262,34,17767140.483379193,16878783.459210236
263,37,15405887.853823971,14635593.461132772
264,37,15581976.677186439,14802877.843327118
265,36,16391311.84105838,15571746.24900546
266,34,17572128.526750572,16693522.100413043
267,35,17055390.499519285,16202620.97454332
268,32,19197887.268228587,18237992.904817156
269,42,12059212.055923227,11456251.453127066
270,27,23015133.628460914,21864376.94703787
271,40,13376343.541200731,12707526.364140693
272,36,16340778.275125844,15523739.361369552
273,37,15523718.16352556,14747532.25534928
274,37,15604987.893962346,14824738.49926423
275,38,14887909.415943779,14143513.945146589
276,33,18548302.20278665,17620887.092647318
277,36,16222639.681698574,15411507.697613647
278,26,23744016.03483031,22556815.23308879
279,36,16345689.66721842,15528405.1838575
280,35,16999542.481619082,16149565.357538126
281,32,19276876.762054987,18313032.923952233
282,33,18515100.005084284,17589345.004830066
283,42,12044299.70395795,11442084.718760053
284,33,18667470.20221421,17734096.6921035
285,31,19887754.04731537,18893366.3449496
286,35,17040595.22357673,16188565.462397892
287,32,19054333.992180273,18101617.292571258
288,38,14940932.80028329,14193886.160269124
289,42,11980833.621396085,11381791.94032628
290,41,12729486.028566796,12093011.727138454
291,38,14840815.352552269,14098774.584924653
292,40,13298340.190936744,12633423.181389906
293,34,17966465.885445267,17068142.591173
294,42,12075790.111972768,11472000.606374128
295,41,12665544.724064058,12032267.487860855
296,39,14088140.781285506,13383733.74222123
297,28,22500770.161673073,21375731.65358942
298,33,18493293.83358221,17568629.141903102
299,37,15595910.7729083,14816115.234262884
300,37,15538576.504245792,14761647.679033503
301,36,16321904.09621242,15505808.8914018
302,36,16189020.651864864,15379569.61927162
303,41,12827902.624799531,12186507.493559554
304,36,16292193.096075531,15477583.441271754
305,39,14076598.69493015,13372768.760183642
306,35,17080735.272063255,16226698.508460091
307,33,18643519.47468436,17711343.500950143
308,36,16192717.455118164,15383081.582362255
309,35,16898802.717966802,16053862.58206846
310,43,11260098.836136125,10697093.894329317
311,37,15631966.243083261,14850367.930929096
312,38,14873679.533584496,14129995.55690527
313,30,20726636.400618177,19690304.580587268
314,35,16919993.535739347,16073993.85895238
315,41,12780572.895013744,12141544.250263056
316,41,12690405.124014392,12055884.867813671
317,38,14846563.871494094,14104235.677919388
318,35,17003508.610684186,16153333.180149976
319,37,15770305.050753,14981789.798215348
320,37,15590231.775342586,14810720.186575456
321,34,18052954.259517938,17150306.546542037
322,26,23528505.66283135,22352080.379689783
323,42,11954110.341027623,11356404.823976241
324,36,16346053.866680162,15528751.173346153
325,38,14889356.49068113,14144888.666147072
326,41,12613878.82625024,11983184.884937726
327,36,15928340.540020954,15131923.513019906
328,34,17869869.96752307,16976376.469146915
329,34,17605257.4589387,16724994.585991764
330,39,13856777.64288552,13163938.760741243
331,34,17622118.183402054,16741012.27423195
332,37,15555306.37836187,14777541.059443776
333,40,13383532.767649261,12714356.129266797
334,41,12671578.265375484,12037999.352106709
335,33,18287629.307514116,17373247.84213841
336,39,14217200.560808867,13506340.532768423
337,39,13956297.43544537,13258482.563673101
338,45,9935430.214156916,9438658.70344907
339,33,18371887.213751346,17453292.853063777
340,31,20116134.748271655,19110328.010858074
341,37,15561718.078145344,14783632.174238076
342,29,21217148.623626687,20156291.19244535
343,31,20104056.881398406,19098854.03732848
344,42,11930739.040190991,11334202.088181442
345,39,14062107.890705338,13359002.49617007
346,43,11305216.888961257,10739956.044513194
347,35,16944168.50816667,16096960.082758337
348,27,23145026.862238187,21987775.519126274
349,32,19145536.399020527,18188259.5790695
350,40,13371000.186139373,12702450.176832404
351,39,14064957.490931766,13361709.616385177
352,33,18428876.84176917,17507432.99968071
353,31,20060239.39689685,19057227.427052006
354,35,17148165.329715196,16290757.063229436
355,42,11931537.068532169,11334960.21510556
356,34,17846682.723867383,16954348.58767401
357,32,19186915.511599693,18227569.73601971
358,32,19257538.981401272,18294662.03233121
359,37,15625266.15304293,14844002.845390782
360,39,14072245.162793502,13368632.904653827
361,31,19916402.707974624,18920582.572575893
362,34,17701207.385313664,16816147.016047977
363,30,20636124.188397206,19604317.978977345
364,41,12728049.837396303,12091647.345526488
365,24,24935384.27979498,23688615.06580523
366,35,17090289.45453047,16235774.981803946
367,29,21726990.513611842,20640640.987931248
368,38,14683255.402706856,13949092.632571513
369,41,12667556.150580766,12034178.343051728
370,38,14667543.099941999,13934165.944944898
371,38,14907852.313988807,14162459.698289365
372,45,9851370.683423346,9358802.149252178
373,31,19925231.46831073,18928969.894895192
374,36,16337136.729322026,15520279.892855924
375,21,27233207.47075057,25871547.097213037
376,33,18663976.78516097,17730777.94590292
377,29,21605525.802310906,20525249.51219536
378,35,16888371.202072088,16043952.641968481
379,35,16899137.9757237,16054181.076937513
380,35,17078577.181548975,16224648.322471527
381,34,17850848.583533555,16958306.15435688
382,35,17146178.375822663,16288869.45703153
383,36,16323074.515391214,15506920.789621653
384,32,19189548.17393976,18230070.76524277
385,31,19849651.5789548,18857169.000007063
386,39,14205743.948975304,13495456.751526538
387,35,17044693.39769182,16192458.72780723
388,36,16127909.290987128,15321513.826437771
389,37,15415978.36447083,14645179.446247287
390,36,16380252.915333506,15561240.269566828
391,32,19180845.385266703,18221803.116003364
392,41,12681746.097011035,12047658.792160481
393,43,11299220.597101158,10734259.5672461
394,40,13359874.380424337,12691880.66140312
395,45,9808714.664464,9318278.931240799
396,30,20735151.374029778,19698393.805328287
397,35,17158793.39376893,16300853.724080484
398,33,18495115.220196247,17570359.459186435
399,41,12809917.380738301,12169421.511701385
400,36,16074399.314578297,15270679.34884938
401,37,15533370.658352196,14756702.125434585
402,28,22203628.563701093,21093447.135516036
403,33,18601946.63687005,17671849.30502655
404,39,14214222.512176976,13503511.386568127
405,35,17103038.638138477,16247886.70623155
406,40,13276592.880694287,12612763.236659572
407,39,14237635.966446899,13525754.168124555
408,36,16263800.92344145,15450610.877269376
409,33,18622095.691140324,17690990.906583305
410,42,12060475.755893087,11457451.968098432
411,29,21583330.11308459,20504163.607430354
412,39,14088224.178137533,13383812.969230657
413,32,19221542.170597214,18260465.06206735
414,31,19864425.75168365,18871204.464099467
415,31,20097508.46976567,19092633.046277385
416,32,19217905.745707795,18257010.458422404
417,37,15262296.37587406,14499181.557080356
418,30,20716199.53125212,19680389.554689515
419,34,17793017.223486234,16903366.362311922
420,39,14144159.107961142,13436951.152563084
421,34,18011376.910979107,17110808.065430153
422,40,13394806.969868843,12725066.621375399
423,36,16461737.007629571,15638650.157248093
424,36,16145895.198692914,15338600.438758265
425,34,17681832.0904379,16797740.485916004
426,38,14841890.90139164,14099796.356322058
427,37,15630338.165616242,14848821.25733543
428,38,14657422.859011667,13924551.716061082
429,38,14817336.243023463,14076469.43087229
430,38,14828105.149172394,14086699.891713774
431,38,14771143.416991873,14032586.246142277
432,35,17109468.380334247,16253994.961317534
433,35,17152698.577197578,16295063.6483377
434,39,14294732.818950849,13579996.178003306
435,40,13389772.739000838,12720284.102050796
436,27,23198107.72849121,22038202.342066646
437,38,14825927.355982514,14084630.988183388
438,36,16398003.329769447,15578103.163280973
439,37,15515082.3978764,14739328.277982581
440,39,14312564.117793854,13596935.91190416
441,31,20043119.25774212,19040963.294855017
442,42,11896973.53410953,11302124.857404051
443,38,14882472.977651697,14138349.328769112
444,33,18486747.38229964,17562410.013184655
445,43,11390703.458349546,10821168.285432069
446,33,18577464.681675117,17648591.44759136
447,44,10544045.6465851,10016843.364255844
448,40,13457082.106435888,12784228.001114095
449,42,12073330.172960192,11469663.66431218
450,39,14169026.303938815,13460574.988741873
451,32,19160188.16732063,18202178.7589546
452,32,19425514.673433818,18454238.939762127
453,42,11905760.212580645,11310472.201951612
454,35,17018328.967236668,16167412.518874835
455,35,17138935.477036502,16281988.703184674
456,35,17130422.6241617,16273901.492953617
457,42,11897222.139484435,11302361.032510214
458,35,16952142.532135338,16104535.40552857
459,40,13388647.007129384,12719214.656772915
460,30,20918623.88833384,19872692.693917148
461,38,14823759.496493928,14082571.521669231
462,34,17687663.51760253,16803280.341722403
463,32,19195294.03894298,18235529.336995833
464,39,14023668.349291928,13322484.931827331
465,38,14686787.17105412,13952447.812501412
466,31,19705725.437108018,18720439.165252615
467,32,19135049.9137509,18178297.418063357
468,40,13405937.280756408,12735640.416718587
469,42,12050078.226603664,11447574.31527348
470,41,12611963.149558233,11981364.992080322
471,38,14834778.19438336,14093039.284664193
472,37,15665691.523711937,14882406.94752634
473,37,15653572.484882593,14870893.860638464
474,35,17050286.610202428,16197772.279692307
475,40,13391990.561135748,12722391.03307896
476,39,14119833.52448025,13413841.848256236
477,39,14186190.96224177,13476881.414129682
478,36,16364484.414887926,15546260.194143528
479,32,19268609.877047088,18305179.38319473
480,36,16250812.992542794,15438272.342915654
481,35,17011365.84683402,16160797.554492315
482,42,11985386.319122039,11386117.003165936
483,34,17899568.197947383,17004589.788050015
484,30,20812429.84807524,19771808.355671477
485,32,19262801.709536325,18299661.62405951
486,28,22379797.082977567,21260807.228828687
487,38,14833033.858275635,14091382.165361853
488,39,13971407.30948033,13272836.944006313
489,35,16939907.713685934,16092912.328001633
490,39,14111029.274627764,13405477.810896374
491,39,14035704.309593882,13333919.094114188
492,40,13339090.678932063,12672136.14498546
493,38,14711812.808170514,13976222.167761989
494,33,18558984.78791992,17631035.54852392
495,42,11964927.034735966,11366680.682999168
496,36,16150035.63038518,15342533.84886592
497,33,18614342.559840724,17683625.431848686
498,31,20116425.32241361,19110604.05629293
499,37,15695117.776895273,14910361.88805051
500,25,24205829.369169388,22995537.900710914
501,33,18202543.442354556,17292416.270236827
502,40,13488258.495995581,12813845.571195804
503,35,16775381.95384305,15936612.856150897
504,38,14877911.555503124,14134015.977727966
505,30,20683526.24938017,19649349.936911162
506,33,18307756.142348487,17392368.335231062
507,46,9113404.530312885,8657734.30379724
508,36,16321331.959692542,15505265.361707913
509,35,17088563.100000218,16234134.945000205
510,35,17087618.639354352,16233237.707386635
511,36,16194552.266030373,15384824.652728854
512,37,15481678.128933799,14707594.222487109
513,43,11207563.420233916,10647185.24922222
514,39,14182989.576751042,13473840.097913489
515,37,15315791.499246547,14550001.924284218
516,38,14671917.370555129,13938321.502027372
517,42,12021509.808319382,11420434.317903414
518,41,12506091.82625132,11880787.234938754
519,41,12467981.762129782,11844582.674023293
520,40,13473453.467239814,12799780.793877821
521,42,11971730.298293887,11373143.783379192
522,40,13304085.212880718,12638880.952236682
523,41,12696242.96442232,12061430.816201203
524,38,14555546.100487232,13827768.79546287
525,36,16346451.91593837,15529129.320141451
526,34,18007956.21333603,17107558.40266923
527,44,10617489.142504135,10086614.685378928
528,43,11296329.87807975,10731513.38417576
529,41,12708880.52854197,12073436.50211487
530,23,25777280.12106768,24488416.115014296
531,24,25139002.517628536,23882052.391747106
532,39,14050471.104563348,13347947.54933518
533,38,14888727.032613544,14144290.680982865
534,35,17162435.861021724,16304314.067970637
535,39,14110407.214884834,13404886.854140593
536,38,14821912.703410346,14080817.068239829
537,36,16331510.439757628,15514934.917769745
538,40,13425944.688163843,12754647.45375565
539,36,16262878.306803048,15449734.391462896
540,29,21580215.442762773,20501204.670624632
541,44,10560252.583961222,10032239.95476316
542,33,18660921.776821647,17727875.687980562
543,33,18565522.35498636,17637246.23723704
544,31,19913496.24993967,18917821.437442683
545,39,14048368.395627946,13345949.975846548
546,39,14068401.095951293,13364981.041153727
547,27,23206871.083930608,22046527.529734075
548,39,14079681.560797915,13375697.48275802
549,38,14880459.81001518,14136436.81951442
550,42,12033669.176568616,11431985.717740184
551,38,14792428.295936681,14052806.881139847
552,42,11904871.766156796,11309628.177848956
553,38,14755117.458230784,14017361.585319243
554,43,11210502.737985982,10649977.601086682
555,43,11267638.607000342,10704256.676650325
556,34,17690699.09391256,16806164.139216933
557,39,14163817.498133946,13455626.623227248
558,35,16966863.360432755,16118520.192411117
559,39,14024809.756460994,13323569.268637946
560,38,14813387.159685617,14072717.801701335
561,30,20661125.392159466,19628069.12255149
562,30,20872311.993698176,19828696.394013267
563,31,19937133.647111706,18940276.964756116
564,34,17597174.544479523,16717315.817255545
565,36,16255688.78690716,15442904.347561803
566,40,13380730.581274634,12711694.052210903
567,27,22831919.775579814,21690323.78680082
568,36,16223771.361550633,15412582.7934731
569,35,16767496.373997271,15929121.555297408
570,40,13479312.578078292,12805346.949174376
571,34,17556981.851559162,16679132.758981204
572,41,12700281.5337732,12065267.45708454
573,40,13308850.060565429,12643407.557537155
574,34,17945987.902948767,17048688.507801328
575,33,18557554.234122526,17629676.522416398
576,35,16937919.952775173,16091023.955136413
577,36,16410355.316337168,15589837.550520308
578,34,17901679.86712441,17006595.873768184
579,41,12757526.071509061,12119649.767933609
580,38,14887272.389600724,14142908.770120686
581,32,19098030.016888835,18143128.516044393
582,32,19297470.692831222,18332597.158189658
583,38,14851914.18435184,14109318.475134246
584,39,14012459.37905115,13311836.410098594
585,44,10556544.322160838,10028717.106052795
586,37,15459250.119537046,14686287.613560192
587,40,13380971.363505552,12711922.795330273
588,34,17776773.175041493,16887934.516289417
589,41,12667418.252138814,12034047.339531872
590,45,9934072.050488178,9437368.447963769
591,33,18489945.472082227,17565448.198478114
592,37,15437951.381380292,14666053.812311277
593,40,13289077.106394839,12624623.251075096
594,38,14847146.358857555,14104789.040914675
595,42,11891354.45112597,11296786.72856967
596,37,15508173.221207635,14732764.560147252
597,35,17143284.075768214,16286119.871979801
598,33,18637223.25182487,17705362.089233626
599,36,16270891.219398627,15457346.658428693
600,33,18180196.95304805,17271187.10539565
601,38,14793175.30356085,14053516.538382808
602,38,14694903.389257153,13960158.219794296
603,37,15425118.063122306,14653862.15996619
604,39,14064463.995215135,13361240.795454377
605,34,17701733.531391975,16816646.85482237
606,42,11967779.36536006,11369390.397092057
607,32,19194880.318645213,18235136.30271295
608,35,17070302.627642024,16216787.49625992
609,34,17781926.669542145,16892830.336065035
610,34,17760389.094901264,16872369.6401562
611,36,16305170.665526725,15489912.13225039
612,46,9154754.335049147,8697016.618296688
613,33,18283822.34236928,17369631.225250818
614,40,13525983.673038336,12849684.489386419
615,36,16202584.318111401,15392455.102205828
616,38,14804064.825267624,14063861.584004242
617,35,16957376.078712936,16109507.27477729
618,38,14882088.074805405,14137983.671065133
619,35,17210512.895180516,16349987.250421487
620,35,16971467.715722073,16122894.329935968
621,39,14085936.878391286,13381640.034471722
622,33,18341280.69130173,17424216.656736642
623,38,14800131.379406193,14060124.810435884
624,40,13321836.713639604,12655744.877957623
625,38,14876514.528109124,14132688.801703667
626,33,18482976.751778085,17558827.914189182
627,30,20813013.72390157,19772363.03770649
628,33,18675502.637783274,17741727.50589411
629,43,11225414.389344512,10664143.669877285
630,38,14865873.32760987,14122579.661229376
631,38,14815214.59400918,14074453.86430872
632,41,12705062.46810599,12069809.34470069
633,40,13443968.752686225,12771770.315051913
634,41,12724749.468918864,12088511.99547292
635,36,16165815.80350479,15357525.013329549
636,40,13245247.479895705,12582985.105900919
637,35,16946310.897685606,16098995.352801323
638,39,14083009.934227679,13378859.437516294
639,39,14143699.202279568,13436514.242165588
640,37,15581213.401557382,14802152.731479513
641,38,14784700.15410714,14045465.146401782
642,43,11302534.50447204,10737407.779248439
643,37,15712534.529751953,14926907.803264355
644,35,16912075.279878948,16066471.515885
645,33,18329781.468399644,17413292.394979663
646,38,14753780.90449583,14016091.859271036
647,30,20672540.55648835,19638913.52866393
648,33,18437130.09394422,17515273.58924701
649,40,13448139.471373957,12775732.497805258
650,34,17762635.482102033,16874503.70799693
651,34,17450272.139404207,16577758.532433996
652,38,14808202.154113399,14067792.046407728
653,32,19238804.266857628,18276864.053514745
654,39,14166339.873231187,13458022.879569627
655,31,20023267.569063578,19022104.190610394
656,35,17111271.66310456,16255708.07994933
657,40,13608760.388709966,12928322.369274467
658,41,12770724.508822381,12132188.283381263
659,35,17067496.703835703,16214121.868643919
660,32,19381965.85312548,18412867.560469203
661,28,22142301.46067926,21035186.387645293
662,38,14957437.319662502,14209565.453679375
663,40,13424918.495575462,12753672.570796687
664,39,14113156.32597196,13407498.509673359
665,43,11297749.920234175,10732862.424222466
666,33,18498791.714335386,17573852.128618617
667,39,13864691.253285524,13171456.690621246
668,34,17852982.867355354,16960333.723987583
669,28,22346964.69254216,21229616.457915053
670,41,12679879.51255611,12045885.536928304
671,41,12740377.28534699,12103358.42107964
672,29,21762419.32093097,20674298.35488442
673,30,20629285.556485046,19597821.27866079
674,33,18331950.077423263,17415352.573552098
675,39,13970946.879055994,13272399.535103194
676,36,16084490.304003792,15280265.7888036
677,38,14877547.65754019,14133670.274663178
678,42,11942531.623079801,11345405.04192581
679,38,14980356.853335204,14231339.010668444
680,34,17912236.433465447,17016624.611792177
681,39,14049925.617169995,13347429.336311495
682,37,15654939.591812726,14872192.612222089
683,39,14171383.026713753,13462813.875378065
684,33,18715776.54669265,17779987.71935802
685,37,15579911.194158714,14800915.634450778
686,30,20878802.244314995,19834862.132099245
687,35,17067738.24202965,16214351.329928165
688,30,20576023.081888568,19547221.92779414
689,37,15697724.835009294,14912838.593258828
690,35,17151445.307883617,16293873.042489436
691,40,13533590.364236444,12856910.846024621
692,46,9222014.731897002,8760913.995302152
